timestamp,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-09 06:30:00,32.2859
2023-07-09 07:00:00,35.808
2023-07-09 07:30:00,35.2952
2023-07-09 08:00:00,35.4769
2023-07-09 08:30:00,36.9637
2023-07-09 09:00:00,39.4652
2023-07-09 09:30:00,46.9148
2023-07-09 10:00:00,46.9615
2023-07-09 10:30:00,46.4651
2023-07-09 11:00:00,42.3079
2023-07-09 11:30:00,42.0363
2023-07-09 12:00:00,44.4966
2023-07-09 12:30:00,48.1079
2023-07-09 13:00:00,46.9861
2023-07-09 13:30:00,47.7442
2023-07-09 14:00:00,48.0904
2023-07-09 14:30:00,50.9327
2023-07-09 15:00:00,37.6869
2023-07-09 15:30:00,52.3571
2023-07-09 16:00:00,58.5336
2023-07-09 16:30:00,57.0871
2023-07-09 17:00:00,55.8377
2023-07-09 17:30:00,52.4777
2023-07-09 18:00:00,48.795
2023-07-09 18:30:00,47.6547
2023-07-09 19:00:00,46.3729
2023-07-09 19:30:00,46.5478
2023-07-09 20:00:00,43.6214
2023-07-09 20:30:00,41.9135
2023-07-09 21:00:00,43.457
2023-07-09 21:30:00,45.519
2023-07-09 22:00:00,46.8177
2023-07-09 22:30:00,41.1826
2023-07-09 23:00:00,42.2812
2023-07-09 23:30:00,40.6866
2023-07-10 00:00:00,11.6081
2023-07-10 00:30:00,23.1882
2023-07-10 01:00:00,29.5593
2023-07-10 01:30:00,34.4939
2023-07-10 02:00:00,37.8025
2023-07-10 02:30:00,39.6638
2023-07-10 03:00:00,43.1793
2023-07-10 03:30:00,45.2621
2023-07-10 04:00:00,45.3991
2023-07-10 04:30:00,43.2963
2023-07-10 05:00:00,44.1252
2023-07-10 05:30:00,45.0257
2023-07-10 06:00:00,45.6536
2023-07-10 06:30:00,46.7736
2023-07-10 07:00:00,46.3545
2023-07-10 07:30:00,50.2282
2023-07-10 08:00:00,50.2888
2023-07-10 08:30:00,55.142
2023-07-10 09:00:00,60.589
2023-07-10 09:30:00,65.8762
2023-07-10 10:00:00,62.7782
2023-07-10 10:30:00,67.9973
2023-07-10 11:00:00,74.8406
2023-07-10 11:30:00,70.9281
2023-07-10 12:00:00,76.0838
